{'time': 1518745567.525, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'DefaultProfile-302', 'ulallocrbrate': 0, 'ulbitrate': 0, 'dlallocrbrate': 0}
{'time': 1518745567.525, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'video-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 80}
{'time': 1518745567.525, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'p4-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 20}
{'time': 1518745567.525, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'DefaultProfile-302', 'ulallocrbrate': 0, 'ulbitrate': 0, 'dlallocrbrate': 0}
{'time': 1518745567.525, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'video-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 80}
{'time': 1518745567.525, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'p4-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 20}
{'time': 1518745567.525, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'DefaultProfile-302', 'ulallocrbrate': 0, 'ulbitrate': 0, 'dlallocrbrate': 0}
{'time': 1518745567.525, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'video-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 80}
{'time': 1518745567.525, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'p4-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 20}
{'time': 1518745567.525, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'DefaultProfile-302', 'ulallocrbrate': 0, 'ulbitrate': 0, 'dlallocrbrate': 0}
{'time': 1518745577.45, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'video-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 80}
{'time': 1518745577.45, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'p4-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 20}
{'time': 1518745577.45, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'DefaultProfile-302', 'ulallocrbrate': 0, 'ulbitrate': 0, 'dlallocrbrate': 0}
{'time': 1518745577.45, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'video-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 80}
{'time': 1518745577.45, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'p4-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 20}
{'time': 1518745577.45, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'DefaultProfile-302', 'ulallocrbrate': 0, 'ulbitrate': 0, 'dlallocrbrate': 0}
{'time': 1518745577.45, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'video-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 80}
{'time': 1518745577.45, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'p4-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 20}
{'time': 1518745577.45, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'DefaultProfile-302', 'ulallocrbrate': 0, 'ulbitrate': 0, 'dlallocrbrate': 0}
{'time': 1518745577.45, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'video-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 80}
{'time': 1518745577.45, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'p4-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 20}
{'time': 1518745577.45, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'DefaultProfile-302', 'ulallocrbrate': 0, 'ulbitrate': 0, 'dlallocrbrate': 0}
{'time': 1518745577.45, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'video-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 80}
{'time': 1518745577.45, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'p4-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 20}
{'time': 1518745577.45, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'DefaultProfile-302', 'ulallocrbrate': 0, 'ulbitrate': 0, 'dlallocrbrate': 0}
{'time': 1518745577.45, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'video-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 80}
{'time': 1518745577.45, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'p4-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 20}
{'time': 1518745577.45, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'DefaultProfile-302', 'ulallocrbrate': 0, 'ulbitrate': 0, 'dlallocrbrate': 0}
{'time': 1518745577.45, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'video-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 80}
{'time': 1518745577.45, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'p4-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 20}
{'time': 1518745577.45, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'DefaultProfile-302', 'ulallocrbrate': 0, 'ulbitrate': 0, 'dlallocrbrate': 0}
{'time': 1518745577.45, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'video-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 80}
{'time': 1518745577.45, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'p4-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 20}
{'time': 1518745577.45, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'DefaultProfile-302', 'ulallocrbrate': 0, 'ulbitrate': 0, 'dlallocrbrate': 0}
{'time': 1518745577.45, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'video-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 80}
{'time': 1518745577.45, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'p4-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 20}
{'time': 1518745577.45, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'DefaultProfile-302', 'ulallocrbrate': 0, 'ulbitrate': 0, 'dlallocrbrate': 0}
{'time': 1518745577.45, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'video-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 80}
{'time': 1518745577.45, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'p4-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 20}
{'time': 1518745577.45, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'DefaultProfile-302', 'ulallocrbrate': 0, 'ulbitrate': 0, 'dlallocrbrate': 0}
{'time': 1518745587.474, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'video-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 80}
{'time': 1518745587.474, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'p4-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 20}
{'time': 1518745587.474, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'DefaultProfile-302', 'ulallocrbrate': 0, 'ulbitrate': 0, 'dlallocrbrate': 0}
{'time': 1518745587.474, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'video-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 80}
{'time': 1518745587.474, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'p4-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 20}
{'time': 1518745587.474, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'DefaultProfile-302', 'ulallocrbrate': 0, 'ulbitrate': 0, 'dlallocrbrate': 0}
{'time': 1518745587.474, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'video-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 80}
{'time': 1518745587.474, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'p4-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 20}
{'time': 1518745587.474, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'DefaultProfile-302', 'ulallocrbrate': 0, 'ulbitrate': 0, 'dlallocrbrate': 0}
{'time': 1518745587.474, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'video-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 80}
{'time': 1518745587.474, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'p4-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 20}
{'time': 1518745587.474, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'DefaultProfile-302', 'ulallocrbrate': 0, 'ulbitrate': 0, 'dlallocrbrate': 0}
{'time': 1518745587.474, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'video-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 80}
{'time': 1518745587.474, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'p4-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 20}
{'time': 1518745587.474, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'DefaultProfile-302', 'ulallocrbrate': 0, 'ulbitrate': 0, 'dlallocrbrate': 0}
{'time': 1518745587.474, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'video-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 80}
{'time': 1518745587.474, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'p4-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 20}
{'time': 1518745587.474, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'DefaultProfile-302', 'ulallocrbrate': 0, 'ulbitrate': 0, 'dlallocrbrate': 0}
{'time': 1518745587.474, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'video-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 80}
{'time': 1518745587.474, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'p4-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 20}
{'time': 1518745587.474, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'DefaultProfile-302', 'ulallocrbrate': 0, 'ulbitrate': 0, 'dlallocrbrate': 0}
{'time': 1518745587.474, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'video-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 80}
{'time': 1518745587.474, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'p4-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 20}
{'time': 1518745587.474, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'DefaultProfile-302', 'ulallocrbrate': 0, 'ulbitrate': 0, 'dlallocrbrate': 0}
{'time': 1518745587.474, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'video-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 80}
{'time': 1518745587.474, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'p4-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 20}
{'time': 1518745587.474, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'DefaultProfile-302', 'ulallocrbrate': 0, 'ulbitrate': 0, 'dlallocrbrate': 0}
{'time': 1518745587.474, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'video-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 80}
{'time': 1518745587.474, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'p4-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 20}
{'time': 1518745587.474, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'DefaultProfile-302', 'ulallocrbrate': 0, 'ulbitrate': 0, 'dlallocrbrate': 0}
{'time': 1518745597.499, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'video-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 80}
{'time': 1518745597.499, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'p4-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 20}
{'time': 1518745597.499, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'DefaultProfile-302', 'ulallocrbrate': 0, 'ulbitrate': 0, 'dlallocrbrate': 0}
{'time': 1518745597.499, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'video-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 80}
{'time': 1518745597.499, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'p4-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 20}
{'time': 1518745597.499, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'DefaultProfile-302', 'ulallocrbrate': 0, 'ulbitrate': 0, 'dlallocrbrate': 0}
{'time': 1518745597.499, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'video-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 80}
{'time': 1518745597.499, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'p4-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 20}
{'time': 1518745597.499, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'DefaultProfile-302', 'ulallocrbrate': 0, 'ulbitrate': 0, 'dlallocrbrate': 0}
{'time': 1518745597.499, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'video-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 80}
{'time': 1518745597.499, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'p4-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 20}
{'time': 1518745597.499, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'DefaultProfile-302', 'ulallocrbrate': 0, 'ulbitrate': 0, 'dlallocrbrate': 0}
{'time': 1518745597.499, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'video-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 80}
{'time': 1518745597.499, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'p4-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 20}
{'time': 1518745597.499, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'DefaultProfile-302', 'ulallocrbrate': 0, 'ulbitrate': 0, 'dlallocrbrate': 0}
{'time': 1518745597.499, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'video-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 80}
{'time': 1518745597.499, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'p4-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 20}
{'time': 1518745597.499, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'DefaultProfile-302', 'ulallocrbrate': 0, 'ulbitrate': 0, 'dlallocrbrate': 0}
{'time': 1518745597.499, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'video-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 80}
{'time': 1518745597.499, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'p4-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 20}
{'time': 1518745597.499, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'DefaultProfile-302', 'ulallocrbrate': 0, 'ulbitrate': 0, 'dlallocrbrate': 0}
{'time': 1518745597.499, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'video-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 80}
{'time': 1518745597.499, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'p4-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 20}
{'time': 1518745597.499, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'DefaultProfile-302', 'ulallocrbrate': 0, 'ulbitrate': 0, 'dlallocrbrate': 0}
{'time': 1518745597.499, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'video-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 80}
{'time': 1518745597.499, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'p4-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 20}
{'time': 1518745597.499, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'DefaultProfile-302', 'ulallocrbrate': 0, 'ulbitrate': 0, 'dlallocrbrate': 0}
{'time': 1518745597.499, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'video-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 80}
{'time': 1518745597.499, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'p4-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 20}
{'time': 1518745597.499, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'DefaultProfile-302', 'ulallocrbrate': 0, 'ulbitrate': 0, 'dlallocrbrate': 0}
{'time': 1518745607.525, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'video-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 80}
{'time': 1518745607.525, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'p4-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 20}
{'time': 1518745607.525, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'DefaultProfile-302', 'ulallocrbrate': 0, 'ulbitrate': 0, 'dlallocrbrate': 0}
{'time': 1518745607.525, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'video-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 80}
{'time': 1518745607.525, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'p4-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 20}
{'time': 1518745607.525, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'DefaultProfile-302', 'ulallocrbrate': 0, 'ulbitrate': 0, 'dlallocrbrate': 0}
{'time': 1518745607.525, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'video-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 80}
{'time': 1518745607.525, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'p4-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 20}
{'time': 1518745607.525, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'DefaultProfile-302', 'ulallocrbrate': 0, 'ulbitrate': 0, 'dlallocrbrate': 0}
{'time': 1518745607.525, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'video-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 80}
{'time': 1518745607.525, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'p4-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 20}
{'time': 1518745607.525, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'DefaultProfile-302', 'ulallocrbrate': 0, 'ulbitrate': 0, 'dlallocrbrate': 0}
{'time': 1518745607.525, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'video-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 80}
{'time': 1518745607.525, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'p4-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 20}
{'time': 1518745607.525, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'DefaultProfile-302', 'ulallocrbrate': 0, 'ulbitrate': 0, 'dlallocrbrate': 0}
{'time': 1518745607.525, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'video-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 80}
{'time': 1518745607.525, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'p4-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 20}
{'time': 1518745607.525, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'DefaultProfile-302', 'ulallocrbrate': 0, 'ulbitrate': 0, 'dlallocrbrate': 0}
{'time': 1518745607.525, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'video-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 80}
{'time': 1518745607.525, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'p4-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 20}
{'time': 1518745607.525, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'DefaultProfile-302', 'ulallocrbrate': 0, 'ulbitrate': 0, 'dlallocrbrate': 0}
{'time': 1518745607.525, 'enodeb': '302', 'dlbitrate': 0, 'profile': 'video-slice', 'ulallocrbrate': 50, 'ulbitrate': 0, 'dlallocrbrate': 80}
